"likes","page_name","video_length","total_interactions","post_views"
1849,"DW News","00:00:43","2,738",143000
1848,"DW Euromaxx","00:00:30","889",45903
1844,"DW Music","00:00:37","1,445",41069
1834,"DW Culture","00:00:29","418",4876
1831,"DW Culture","00:00:32","2,269",76356
1813,"DW Travel","00:00:10","316",9460
1808,"DW Euromaxx","00:00:30","2,157",107243
1806,"DW Culture","00:00:45","469",4717
1799,"DW Culture","00:00:32","2,229",71298
1792,"FRANCE 24","00:00:41","403",7874
1792,"DW Travel","00:00:05","497",3545
1785,"DW Reise","00:00:08","326",4784
1785,"DW Euromaxx","00:00:41","397",8131
1785,"DW Reise","00:00:06","354",30658
1776,"DW Culture","00:00:32","2,203",66983
1775,"DW Euromaxx","00:00:30","2,120",103348
1770,"DW Euromaxx","00:00:32","403",4906
1764,"DW Music","00:00:40","312",21462
1759,"DW Euromaxx","00:00:30","2,102",99455
1757,"DW Culture","00:00:29","445",3814
1736,"DW News","00:00:40","545",7020
1729,"FRANCE 24","00:00:18","312",11034
1724,"DW News","00:00:43","2,568",135216
1722,"FRANCE 24","00:00:38","411",19012
1722,"FRANCE 24","00:00:38","309",7930
1721,"DW Euromaxx","00:00:30","2,061",94474
1708,"DW Euromaxx","00:00:36","611",156914
1673,"DW Music","00:00:35","310",62200
1670,"DW Euromaxx","00:00:30","2,001",90775
1666,"FRANCE 24","00:00:17","392",19339
1666,"DW Euromaxx","00:00:29","372",4314
1652,"DW Euromaxx (Deutsch)","00:00:39","291",28606
1640,"DW Euromaxx","00:00:30","1,970",88905
1638,"DW Music","00:00:34","341",16574
1631,"DW News","00:00:38","369",4208
1624,"FRANCE 24","00:00:40","401",6637
1624,"DW Euromaxx","00:00:41","359",2478
1618,"DW Euromaxx","00:00:30","1,948",87404
1611,"DW Culture","00:00:32","1,998",54482
1589,"DW News","00:00:38","773",10086
1576,"DW Music","00:00:43","558",40946
1575,"DW Bundesliga Kick off","00:00:39","279",9674
1568,"Onet","00:00:43","350",5288
1568,"DW News","00:00:47","461",6714
1561,"DW Euromaxx","00:00:29","407",4179
1561,"DW Music","00:00:41","376",13422
1554,"DW Reise","00:00:19","481",2006
1547,"DW Reise","00:00:29","325",4552
1540,"DW Euromaxx (Deutsch)","00:00:45","349",5984
1533,"DW Reise","00:00:24","340",3082
1533,"DW News","00:00:39","503",13355
1526,"FRANCE 24","00:00:20","247",7803
1498,"DW Reise","00:00:37","287",3278
1494,"DW Travel","00:00:18","328",3289
1491,"DW Reise","00:00:07","324",1666
1484,"DW Culture","00:00:24","401",2696
1484,"DW News","00:00:48","326",15223
1482,"DW Culture","00:00:48","353",10310
1477,"DW Travel","00:00:12","310",1811
1476,"DW Reise","00:00:11","349",7979
1470,"DW News","00:00:33","625",15602
1463,"DW Reise","00:00:11","335",1802
1452,"DW Euromaxx","00:00:43","317",32247
1452,"DW Travel","00:00:30","329",2169
1435,"DW Reise","00:00:06","331",5064
1435,"DW Reise","00:00:10","329",4692
1428,"DW News","00:00:46","407",4771
1425,"FRANCE 24","00:00:38","1,853",99608
1421,"FRANCE 24 English","00:00:41","614",11167
1414,"DW Travel","00:00:46","333",2269
1407,"DW Euromaxx","00:00:47","318",15114
1400,"DW Travel","00:00:15","360",1764
1393,"DW Euromaxx","00:00:32","374",2666
1386,"DW Reise","00:00:15","331",6613
1379,"DW Bundesliga Kick off","00:00:32","253",3341
1379,"DW Travel","00:00:06","326",8419
1379,"DW Travel","00:00:11","291",1390
1374,"DW Reise","00:00:11","333",4851
1372,"DW Travel","00:00:06","292",1093
1351,"DW Euromaxx","00:00:48","350",3451
1351,"DW Music","00:00:32","276",21690
1351,"DW Music","00:00:23","393",1973
1347,"DW News","00:00:43","2,029",120204
1344,"DW Culture","00:00:36","270",12750
1344,"DW Culture","00:00:46","269",6793
1337,"FRANCE 24 English","00:00:19","378",6838
1326,"DW Reise","00:00:41","423",1493
1320,"DW News","00:00:04","401",3979
1295,"DW Music","00:00:43","430",2388
1295,"DW Reise","00:00:09","281",1940
1290,"DW Travel","00:00:13","291",1511
1281,"RTP","00:00:24","260",8764
1274,"DW Music","00:00:30","289",31409
1260,"DW Travel","00:00:11","301",1323
1254,"DW Travel","00:00:05","313",2303
1253,"DW Culture","00:00:32","241",10987
1253,"DW Euromaxx","00:00:23","416",4229
1253,"DW Reise","00:00:05","321",2991
1248,"DW Travel","00:00:09","274",2672
1232,"DW Euromaxx","00:00:34","267",4520
1230,"DW Euromaxx","00:00:37","272",38400
1218,"DW Culture","00:00:25","287",2016
1211,"DW Bundesliga Kick off","00:00:35","220",4700
1204,"DW Culture","00:00:29","324",2331
1204,"DW Reise","00:00:12","282",1553
1197,"DW Euromaxx (Deutsch)","00:00:37","309",4083
1190,"DW Culture","00:00:27","256",2128
1190,"FRANCE 24","00:00:44","239",6211
1164,"DW Travel","00:00:06","285",4042
1162,"DW Culture","00:00:32","272",2118
1156,"DW Culture","00:00:26","581",3942
1155,"DW Travel","00:00:29","219",1573
1152,"DW Euromaxx","00:00:41","1,039",6914
1152,"DW Travel","00:00:42","263",6293
1148,"DW Culture","00:00:46","323",2431
1148,"FRANCE 24","00:00:22","197",8750
1146,"DW Reise","00:00:10","324",2308
1122,"DW Reise","00:00:15","347",1745
1120,"FRANCE 24","00:00:44","217",6702
1120,"FRANCE 24","00:00:42","195",9313
1113,"DW News","00:00:44","489",18852
1106,"DW Reise","00:00:05","300",2786
1102,"RTP Play","00:00:42","1,234",60462
1099,"DW News","00:00:33","369",3417
1092,"DW Culture","00:00:28","317",2545
1086,"DW Reise","00:00:18","254",2069
1085,"DW Reise","00:00:48","301",1232
1085,"DW Travel","00:00:28","219",1152
1050,"DW News","00:00:50","277",4113
1038,"DW Euromaxx","00:00:29","245",5775
1036,"DW Reise","00:00:16","213",2642
1036,"DW Travel","00:00:16","207",2190
1036,"FRANCE 24","00:00:15","171",5037
1030,"RTP Play","00:00:38","2,865",130354
1029,"DW Travel","00:00:34","223",1889
1029,"DW Reise","00:00:06","222",830
1029,"DW Euromaxx (Deutsch)","00:00:47","196",16448
1029,"DW News","00:00:37","197",6692
1028,"DW Travel","00:00:10","395",1632
1022,"DW Culture","00:00:25","263",1161
1015,"DW Euromaxx","00:00:30","271",2261
1015,"DW News","00:00:41","423",10682
1001,"FRANCE 24","00:00:37","188",5259
1001,"RTP Play","00:00:38","2,795",122816
1000,"DW Euromaxx","00:00:11","949",4289
994,"DW Reise","00:00:10","206",14123
994,"DW Culture","00:00:29","427",3124
992,"DW Euromaxx","00:00:42","344",14887
984,"DW Euromaxx","00:00:31","1,182",303527
982,"DW Euromaxx","00:00:31","1,180",303252
981,"DW Euromaxx","00:00:31","1,179",303210
980,"DW Euromaxx","00:00:31","1,178",303183
979,"DW Euromaxx","00:00:31","1,176",303148
973,"DW Travel","00:00:17","255",6130
973,"DW Culture","00:00:45","161",3443
968,"DW Euromaxx","00:00:07","409",2898
966,"DW Culture","00:00:41","235",1261
959,"DW News","00:00:42","396",12064
952,"DW Euromaxx","00:00:30","192",15885
952,"FRANCE 24","00:00:20","157",4576
952,"DW Reise","00:00:17","254",5772
952,"RTP Play","00:00:24","312",6203
948,"DW Travel","00:00:14","226",2143
945,"DW Culture","00:00:25","267",1918
945,"DW Euromaxx","00:00:45","296",2772
941,"DW Music","00:00:41","1,413",74561
938,"DW Music","00:00:41","1,410",74415
938,"DW Travel","00:00:07","198",1128
935,"DW Travel","00:00:06","282",2000
931,"DW News","00:00:17","205",2993
931,"DW Culture","00:00:34","174",4663
929,"DW Music","00:00:41","1,398",74236
924,"DW Culture","00:00:30","276",1287
924,"FRANCE 24 English","00:00:49","280",3839
920,"DW Bundesliga Kick off","00:00:28","292",1943
917,"DW Music","00:00:30","220",29707
915,"DW Euromaxx","00:00:45","1,322",49118
912,"DW Music","00:00:41","1,365",73483
912,"DW Euromaxx","00:00:41","266",1780
910,"DW Music","00:00:41","1,362",73355
903,"DW Culture","00:00:30","182",5830
901,"DW Music","00:00:41","1,350",73108
900,"DW Reise","00:00:09","209",3152
896,"DW Bundesliga Kick off","00:00:45","215",2504
896,"DW Deutsch","00:00:37","5,347",40935
896,"DW Euromaxx (Deutsch)","00:00:32","171",11943
896,"DW Music","00:00:41","1,345",72912
875,"DW Travel","00:00:48","176",1410
875,"DW Music","00:00:23","332",1649
868,"DW Bundesliga Kick off","00:00:44","162",10061
868,"DW Bundesliga Kick off","00:00:29","166",1983
868,"DW Euromaxx","00:00:31","173",6223
861,"DW Travel","00:00:06","191",1929
861,"DW Culture","00:00:30","174",5629
861,"DW Travel","00:00:07","172",798
858,"DW Euromaxx","00:00:49","241",2432
855,"DW Euromaxx","00:00:33","3,196",50709
855,"DW Euromaxx","00:00:33","3,196",50622
854,"DW Bundesliga Kick off","00:00:42","134",3785
854,"DW Culture","00:00:27","298",3655
853,"DW Euromaxx","00:00:33","3,191",50469
848,"DW Euromaxx","00:00:33","3,168",49937
848,"DW Euromaxx","00:00:36","301",40835
842,"DW Euromaxx","00:00:33","3,132",48964
840,"RTP Play","00:00:46","649",27276
834,"DW Euromaxx","00:00:27","193",5638
834,"DW Reise","00:00:10","223",1778
833,"DW Culture","00:00:45","168",1841
833,"DW Travel","00:00:34","342",3575
825,"DW Euromaxx","00:00:31","1,165",168114
819,"DW Reise","00:00:08","193",2070
818,"DW Euromaxx","00:00:33","3,064",47241
812,"RTP Play","00:00:19","544",7039
812,"DW Deutsch","00:00:34","2,849",24036
812,"FRANCE 24 English","00:00:50","315",7733
805,"DW Music","00:00:38","161",27154
805,"DW Culture","00:00:47","153",7464
804,"DW Euromaxx","00:00:30","176",7601
798,"DW Bundesliga Kick off","00:00:38","186",2212
792,"DW News","00:00:43","394",4311
